Start_District,End_District,Start_Lat,Start_Lon,End_Lat,End_Lon,Distance_km,Taxi_Type,Tunnels,Tunnel_Fee_HKD,Fare_HKD,Fare_Divided_By_3,Estimated_Time_Minutes,Start_Coordinates,End_Coordinates,Start_Value_for_tableau_district,End_Value_for_tableau_district
Tai Po,Kwun Tong,22.45,114.167,22.31,114.225,16.6,new_territories,Lion Rock Tunnel,8,179.5,59.8,23,"(22.45, 114.167)","(22.31, 114.225)",2,6
Tai Po,North District,22.45,114.167,22.5,114.133,6.5,new_territories,None,0,91.5,30.5,12,"(22.45, 114.167)","(22.5, 114.133)",2,0
Tai Po,Sai Kung,22.45,114.167,22.4,114.267,11.7,new_territories,None,0,150.3,50.1,30,"(22.45, 114.167)","(22.4, 114.267)",2,5
Tai Po,Sham Shui Po,22.45,114.167,22.333,114.167,13.0,new_territories,Tate's Cairn Tunnel,20,165.9,55.3,23,"(22.45, 114.167)","(22.333, 114.167)",2,8
Tai Po,Sham Shui Po,22.45,114.167,22.333,114.167,13.0,new_territories,Lion Rock Tunnel,8,153.9,51.3,23,"(22.45, 114.167)","(22.333, 114.167)",2,8
Tai Po,Sha Tin,22.45,114.167,22.383,114.2,8.2,new_territories,None,0,107.2,35.7,13,"(22.45, 114.167)","(22.383, 114.2)",2,6
Tai Po,Southern District,22.45,114.167,22.242,114.15,23.1,new_territories,None,0,239.7,79.9,35,"(22.45, 114.167)","(22.242, 114.15)",2,4
Tai Po,Tai Po,22.45,114.167,22.45,114.167,0.0,new_territories,None,0,25.5,8.5,0,"(22.45, 114.167)","(22.45, 114.167)",2,2
Tai Po,Tsuen Wan,22.45,114.167,22.367,114.117,10.5,new_territories,Tai Lam Tunnel,55,185.8,61.9,24,"(22.45, 114.167)","(22.367, 114.117)",2,4
Tai Po,Tuen Mun,22.45,114.167,22.4,113.975,20.5,new_territories,Tai Lam Tunnel,55,271.0,90.3,32,"(22.45, 114.167)","(22.4, 113.975)",2,2
Tai Po,Wan Chai,22.45,114.167,22.278,114.178,19.1,new_territories,"Cross-Harbour Tunnel, Tate's Cairn Tunnel",70,272.1,90.7,30,"(22.45, 114.167)","(22.278, 114.178)",2,7
Tai Po,Wan Chai,22.45,114.167,22.278,114.178,19.1,new_territories,"Western Harbour Crossing, Tai Lam Tunnel",105,307.1,102.4,30,"(22.45, 114.167)","(22.278, 114.178)",2,7
Tai Po,Wong Tai Sin,22.45,114.167,22.342,114.183,12.1,new_territories,Tate's Cairn Tunnel,20,157.8,52.6,22,"(22.45, 114.167)","(22.342, 114.183)",2,3
Tai Po,Wong Tai Sin,22.45,114.167,22.342,114.183,12.1,new_territories,Lion Rock Tunnel,8,145.8,48.6,22,"(22.45, 114.167)","(22.342, 114.183)",2,3
Tai Po,Yau Tsim Mong,22.45,114.167,22.3,114.175,16.6,new_territories,Tate's Cairn Tunnel,20,201.1,67.0,28,"(22.45, 114.167)","(22.3, 114.175)",2,9
Tai Po,Yau Tsim Mong,22.45,114.167,22.3,114.175,16.6,new_territories,Lion Rock Tunnel,8,189.1,63.0,28,"(22.45, 114.167)","(22.3, 114.175)",2,9
Tai Po,Yuen Long,22.45,114.167,22.433,114.033,13.9,new_territories,Tai Lam Tunnel,55,211.5,70.5,25,"(22.45, 114.167)","(22.433, 114.033)",2,1
Tsuen Wan,Central and Western,22.367,114.117,22.285,114.158,10.0,new_territories,"Western Harbour Crossing, Tai Lam Tunnel",105,219.8,73.3,17,"(22.367, 114.117)","(22.285, 114.158)",4,8
Tsuen Wan,Eastern,22.367,114.117,22.283,114.233,15.1,new_territories,"Western Harbour Crossing, Tai Lam Tunnel",105,270.0,90.0,25,"(22.367, 114.117)","(22.283, 114.233)",4,10
Tsuen Wan,Islands,22.367,114.117,22.267,113.95,20.5,new_territories,None,0,206.0,68.7,27,"(22.367, 114.117)","(22.267, 113.95)",4,2
Tsuen Wan,Kowloon City,22.367,114.117,22.323,114.188,8.8,new_territories,Tai Lam Tunnel,55,175.5,58.5,20,"(22.367, 114.117)","(22.323, 114.188)",4,17
Tsuen Wan,Kwai Tsing,22.367,114.117,22.358,114.125,1.3,new_territories,None,0,38.8,12.9,7,"(22.367, 114.117)","(22.358, 114.125)",4,5
Tsuen Wan,Kwun Tong,22.367,114.117,22.31,114.225,12.8,new_territories,Tai Lam Tunnel,55,195.9,65.3,21,"(22.367, 114.117)","(22.31, 114.225)",4,6
Tsuen Wan,North District,22.367,114.117,22.5,114.133,14.8,new_territories,Tai Lam Tunnel,55,217.7,72.6,25,"(22.367, 114.117)","(22.5, 114.133)",4,0
Tsuen Wan,Sai Kung,22.367,114.117,22.4,114.267,15.9,new_territories,Tai Lam Tunnel,55,249.8,83.3,38,"(22.367, 114.117)","(22.4, 114.267)",4,5
Tsuen Wan,Sham Shui Po,22.367,114.117,22.333,114.167,6.4,new_territories,Tai Lam Tunnel,55,148.7,49.6,14,"(22.367, 114.117)","(22.333, 114.167)",4,8
Tsuen Wan,Sha Tin,22.367,114.117,22.383,114.2,8.7,new_territories,Tai Lam Tunnel,55,169.8,56.6,17,"(22.367, 114.117)","(22.383, 114.2)",4,6
Tsuen Wan,Sha Tin,22.367,114.117,22.383,114.2,8.7,new_territories,"Eagle's Nest Tunnel, Tai Lam Tunnel",63,177.8,59.3,17,"(22.367, 114.117)","(22.383, 114.2)",4,6
Tsuen Wan,Southern District,22.367,114.117,22.242,114.15,14.3,new_territories,None,0,162.6,54.2,27,"(22.367, 114.117)","(22.242, 114.15)",4,4
Tsuen Wan,Tai Po,22.367,114.117,22.45,114.167,10.5,new_territories,Tai Lam Tunnel,55,187.7,62.6,25,"(22.367, 114.117)","(22.45, 114.167)",4,2
Tsuen Wan,Tsuen Wan,22.367,114.117,22.367,114.117,0.0,new_territories,None,0,25.5,8.5,0,"(22.367, 114.117)","(22.367, 114.117)",4,4
Tsuen Wan,Tuen Mun,22.367,114.117,22.4,113.975,15.1,new_territories,None,0,156.9,52.3,21,"(22.367, 114.117)","(22.4, 113.975)",4,2
Tsuen Wan,Wan Chai,22.367,114.117,22.278,114.178,11.7,new_territories,"Western Harbour Crossing, Tai Lam Tunnel",105,242.0,80.7,23,"(22.367, 114.117)","(22.278, 114.178)",4,7
Tsuen Wan,Wong Tai Sin,22.367,114.117,22.342,114.183,7.3,new_territories,Tai Lam Tunnel,55,165.4,55.1,18,"(22.367, 114.117)","(22.342, 114.183)",4,3
Tsuen Wan,Yau Tsim Mong,22.367,114.117,22.3,114.175,9.5,new_territories,Tai Lam Tunnel,55,171.7,57.2,18,"(22.367, 114.117)","(22.3, 114.175)",4,9
Tsuen Wan,Yuen Long,22.367,114.117,22.433,114.033,11.3,new_territories,None,0,132.6,44.2,22,"(22.367, 114.117)","(22.433, 114.033)",4,1
Tuen Mun,Central and Western,22.4,113.975,22.285,114.158,22.7,new_territories,"Western Harbour Crossing, Tai Lam Tunnel",105,340.3,113.4,34,"(22.4, 113.975)","(22.285, 114.158)",2,8
Tuen Mun,Eastern,22.4,113.975,22.283,114.233,29.6,new_territories,"Western Harbour Crossing, Tai Lam Tunnel",105,403.3,134.4,42,"(22.4, 113.975)","(22.283, 114.233)",2,10
Tuen Mun,Islands,22.4,113.975,22.267,113.95,15.0,new_territories,None,0,180.8,60.3,34,"(22.4, 113.975)","(22.267, 113.95)",2,2
Tuen Mun,Kowloon City,22.4,113.975,22.323,114.188,23.5,new_territories,Tai Lam Tunnel,55,301.6,100.5,37,"(22.4, 113.975)","(22.323, 114.188)",2,17
Tuen Mun,Kwai Tsing,22.4,113.975,22.358,114.125,16.1,new_territories,None,0,171.9,57.3,25,"(22.4, 113.975)","(22.358, 114.125)",2,5
Tuen Mun,Kwun Tong,22.4,113.975,22.31,114.225,27.6,new_territories,Tai Lam Tunnel,55,333.9,111.3,39,"(22.4, 113.975)","(22.31, 114.225)",2,6
Tuen Mun,North District,22.4,113.975,22.5,114.133,19.7,new_territories,Tai Lam Tunnel,55,246.0,82.0,22,"(22.4, 113.975)","(22.5, 114.133)",2,0
Tuen Mun,Sai Kung,22.4,113.975,22.4,114.267,30.1,new_territories,Tai Lam Tunnel,55,379.6,126.5,54,"(22.4, 113.975)","(22.4, 114.267)",2,5
Tuen Mun,Sham Shui Po,22.4,113.975,22.333,114.167,21.1,new_territories,Tai Lam Tunnel,55,273.2,91.1,31,"(22.4, 113.975)","(22.333, 114.167)",2,8
Tuen Mun,Sha Tin,22.4,113.975,22.383,114.2,23.2,new_territories,Tai Lam Tunnel,55,290.0,96.7,32,"(22.4, 113.975)","(22.383, 114.2)",2,6
Tuen Mun,Sha Tin,22.4,113.975,22.383,114.2,23.2,new_territories,"Eagle's Nest Tunnel, Tai Lam Tunnel",63,298.0,99.3,32,"(22.4, 113.975)","(22.383, 114.2)",2,6
Tuen Mun,Southern District,22.4,113.975,22.242,114.15,25.1,new_territories,None,0,271.0,90.3,44,"(22.4, 113.975)","(22.242, 114.15)",2,4
Tuen Mun,Tai Po,22.4,113.975,22.45,114.167,20.5,new_territories,Tai Lam Tunnel,55,274.8,91.6,34,"(22.4, 113.975)","(22.45, 114.167)",2,2
Tuen Mun,Tsuen Wan,22.4,113.975,22.367,114.117,15.1,new_territories,None,0,160.7,53.6,23,"(22.4, 113.975)","(22.367, 114.117)",2,4
Tuen Mun,Tuen Mun,22.4,113.975,22.4,113.975,0.0,new_territories,None,0,25.5,8.5,0,"(22.4, 113.975)","(22.4, 113.975)",2,2
Tuen Mun,Wan Chai,22.4,113.975,22.278,114.178,24.9,new_territories,"Western Harbour Crossing, Tai Lam Tunnel",105,366.8,122.3,40,"(22.4, 113.975)","(22.278, 114.178)",2,7
Tuen Mun,Wong Tai Sin,22.4,113.975,22.342,114.183,22.4,new_territories,Tai Lam Tunnel,55,289.6,96.5,35,"(22.4, 113.975)","(22.342, 114.183)",2,3
Tuen Mun,Yau Tsim Mong,22.4,113.975,22.3,114.175,23.4,new_territories,Tai Lam Tunnel,55,296.7,98.9,35,"(22.4, 113.975)","(22.3, 114.175)",2,9
Tuen Mun,Yuen Long,22.4,113.975,22.433,114.033,7.0,new_territories,None,0,99.6,33.2,14,"(22.4, 113.975)","(22.433, 114.033)",2,1
Wan Chai,Central and Western,22.278,114.178,22.285,114.158,2.2,urban,None,0,45.8,15.3,7,"(22.278, 114.178)","(22.285, 114.158)",7,8
Wan Chai,Eastern,22.278,114.178,22.283,114.233,5.7,urban,None,0,93.0,31.0,12,"(22.278, 114.178)","(22.283, 114.233)",7,10
Wan Chai,Islands,22.278,114.178,22.267,113.95,23.5,urban,None,0,284.0,94.7,38,"(22.278, 114.178)","(22.267, 113.95)",7,2
Wan Chai,Kowloon City,22.278,114.178,22.323,114.188,5.1,urban,Cross-Harbour Tunnel,50,145.0,48.3,16,"(22.278, 114.178)","(22.323, 114.188)",7,17
Wan Chai,Kwai Tsing,22.278,114.178,22.358,114.125,10.4,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,261.4,87.1,21,"(22.278, 114.178)","(22.358, 114.125)",7,5
Wan Chai,Kwun Tong,22.278,114.178,22.31,114.225,6.0,urban,Eastern Harbour Crossing,50,154.6,51.5,16,"(22.278, 114.178)","(22.31, 114.225)",7,6
Wan Chai,Kwun Tong,22.278,114.178,22.31,114.225,6.0,urban,Cross-Harbour Tunnel,50,154.6,51.5,16,"(22.278, 114.178)","(22.31, 114.225)",7,6
Wan Chai,North District,22.278,114.178,22.5,114.133,25.0,urban,"Cross-Harbour Tunnel, Tate's Cairn Tunnel",70,358.1,119.4,35,"(22.278, 114.178)","(22.5, 114.133)",7,0
Wan Chai,North District,22.278,114.178,22.5,114.133,25.0,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,393.1,131.0,35,"(22.278, 114.178)","(22.5, 114.133)",7,0
Wan Chai,Sai Kung,22.278,114.178,22.4,114.267,16.3,urban,"Cross-Harbour Tunnel, Tate's Cairn Tunnel",70,307.8,102.6,40,"(22.278, 114.178)","(22.4, 114.267)",7,5
Wan Chai,Sai Kung,22.278,114.178,22.4,114.267,16.3,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,342.8,114.3,40,"(22.278, 114.178)","(22.4, 114.267)",7,5
Wan Chai,Sham Shui Po,22.278,114.178,22.333,114.167,6.2,urban,Cross-Harbour Tunnel,50,165.0,55.0,20,"(22.278, 114.178)","(22.333, 114.167)",7,8
Wan Chai,Sha Tin,22.278,114.178,22.383,114.2,11.8,urban,"Cross-Harbour Tunnel, Tate's Cairn Tunnel",70,234.4,78.1,20,"(22.278, 114.178)","(22.383, 114.2)",7,6
Wan Chai,Sha Tin,22.278,114.178,22.383,114.2,11.8,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,269.4,89.8,20,"(22.278, 114.178)","(22.383, 114.2)",7,6
Wan Chai,Sha Tin,22.278,114.178,22.383,114.2,11.8,urban,"Cross-Harbour Tunnel, Eagle's Nest Tunnel",58,222.4,74.1,20,"(22.278, 114.178)","(22.383, 114.2)",7,6
Wan Chai,Southern District,22.278,114.178,22.242,114.15,4.9,urban,None,0,84.9,28.3,12,"(22.278, 114.178)","(22.242, 114.15)",7,4
Wan Chai,Tai Po,22.278,114.178,22.45,114.167,19.1,urban,"Cross-Harbour Tunnel, Tate's Cairn Tunnel",70,312.4,104.1,33,"(22.278, 114.178)","(22.45, 114.167)",7,2
Wan Chai,Tai Po,22.278,114.178,22.45,114.167,19.1,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,347.4,115.8,33,"(22.278, 114.178)","(22.45, 114.167)",7,2
Wan Chai,Tsuen Wan,22.278,114.178,22.367,114.117,11.7,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,266.2,88.7,19,"(22.278, 114.178)","(22.367, 114.117)",7,4
Wan Chai,Tuen Mun,22.278,114.178,22.4,113.975,24.9,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,388.1,129.4,33,"(22.278, 114.178)","(22.4, 113.975)",7,2
Wan Chai,Wan Chai,22.278,114.178,22.278,114.178,0.0,urban,None,0,29.0,9.7,0,"(22.278, 114.178)","(22.278, 114.178)",7,7
Wan Chai,Wong Tai Sin,22.278,114.178,22.342,114.183,7.1,urban,Cross-Harbour Tunnel,50,172.5,57.5,19,"(22.278, 114.178)","(22.342, 114.183)",7,3
Wan Chai,Yau Tsim Mong,22.278,114.178,22.3,114.175,2.5,urban,Cross-Harbour Tunnel,50,115.3,38.4,15,"(22.278, 114.178)","(22.3, 114.175)",7,9
Wan Chai,Yuen Long,22.278,114.178,22.433,114.033,22.8,urban,"Western Harbour Crossing, Tai Lam Tunnel",105,375.2,125.1,34,"(22.278, 114.178)","(22.433, 114.033)",7,1
Wong Tai Sin,Central and Western,22.342,114.183,22.285,114.158,6.8,urban,Western Harbour Crossing,50,165.3,55.1,17,"(22.342, 114.183)","(22.285, 114.158)",3,8
Wong Tai Sin,Central and Western,22.342,114.183,22.285,114.158,6.8,urban,Cross-Harbour Tunnel,50,165.3,55.1,17,"(22.342, 114.183)","(22.285, 114.158)",3,8
Wong Tai Sin,Eastern,22.342,114.183,22.283,114.233,8.3,urban,Eastern Harbour Crossing,50,185.3,61.8,19,"(22.342, 114.183)","(22.283, 114.233)",3,10
Wong Tai Sin,Eastern,22.342,114.183,22.283,114.233,8.3,urban,Cross-Harbour Tunnel,50,185.3,61.8,19,"(22.342, 114.183)","(22.283, 114.233)",3,10
Wong Tai Sin,Islands,22.342,114.183,22.267,113.95,25.4,urban,None,0,288.7,96.2,34,"(22.342, 114.183)","(22.267, 113.95)",3,2
Wong Tai Sin,Kowloon City,22.342,114.183,22.323,114.188,2.2,urban,None,0,49.6,16.5,9,"(22.342, 114.183)","(22.323, 114.188)",3,17
Wong Tai Sin,Kwai Tsing,22.342,114.183,22.358,114.125,6.2,urban,Tai Lam Tunnel,55,162.0,54.0,16,"(22.342, 114.183)","(22.358, 114.125)",3,5
Wong Tai Sin,Kwun Tong,22.342,114.183,22.31,114.225,5.6,urban,None,0,91.9,30.6,12,"(22.342, 114.183)","(22.31, 114.225)",3,6
Wong Tai Sin,North District,22.342,114.183,22.5,114.133,18.2,urban,Tate's Cairn Tunnel,20,237.6,79.2,24,"(22.342, 114.183)","(22.5, 114.133)",3,0
Wong Tai Sin,North District,22.342,114.183,22.5,114.133,18.2,urban,Lion Rock Tunnel,8,225.6,75.2,24,"(22.342, 114.183)","(22.5, 114.133)",3,0
Wong Tai Sin,Sai Kung,22.342,114.183,22.4,114.267,10.8,urban,Tate's Cairn Tunnel,20,202.1,67.4,32,"(22.342, 114.183)","(22.4, 114.267)",3,5
Wong Tai Sin,Sai Kung,22.342,114.183,22.4,114.267,10.8,urban,Lion Rock Tunnel,8,190.1,63.4,32,"(22.342, 114.183)","(22.4, 114.267)",3,5
Wong Tai Sin,Sham Shui Po,22.342,114.183,22.333,114.167,1.9,urban,None,0,47.9,16.0,9,"(22.342, 114.183)","(22.333, 114.167)",3,8
Wong Tai Sin,Sha Tin,22.342,114.183,22.383,114.2,4.9,urban,Tate's Cairn Tunnel,20,98.0,32.7,9,"(22.342, 114.183)","(22.383, 114.2)",3,6
Wong Tai Sin,Sha Tin,22.342,114.183,22.383,114.2,4.9,urban,Lion Rock Tunnel,8,86.0,28.7,9,"(22.342, 114.183)","(22.383, 114.2)",3,6
Wong Tai Sin,Sha Tin,22.342,114.183,22.383,114.2,4.9,urban,Eagle's Nest Tunnel,8,86.0,28.7,9,"(22.342, 114.183)","(22.383, 114.2)",3,6
Wong Tai Sin,Southern District,22.342,114.183,22.242,114.15,11.6,urban,None,0,162.6,54.2,20,"(22.342, 114.183)","(22.242, 114.15)",3,4
Wong Tai Sin,Tai Po,22.342,114.183,22.45,114.167,12.1,urban,Tate's Cairn Tunnel,20,190.2,63.4,22,"(22.342, 114.183)","(22.45, 114.167)",3,2
Wong Tai Sin,Tai Po,22.342,114.183,22.45,114.167,12.1,urban,Lion Rock Tunnel,8,178.2,59.4,22,"(22.342, 114.183)","(22.45, 114.167)",3,2
Wong Tai Sin,Tsuen Wan,22.342,114.183,22.367,114.117,7.3,urban,Tai Lam Tunnel,55,169.5,56.5,14,"(22.342, 114.183)","(22.367, 114.117)",3,4
Wong Tai Sin,Tuen Mun,22.342,114.183,22.4,113.975,22.4,urban,Tai Lam Tunnel,55,309.9,103.3,28,"(22.342, 114.183)","(22.4, 113.975)",3,2
Wong Tai Sin,Wan Chai,22.342,114.183,22.278,114.178,7.1,urban,Cross-Harbour Tunnel,50,166.2,55.4,16,"(22.342, 114.183)","(22.278, 114.178)",3,7
Wong Tai Sin,Wong Tai Sin,22.342,114.183,22.342,114.183,0.0,urban,None,0,29.0,9.7,0,"(22.342, 114.183)","(22.342, 114.183)",3,3
Wong Tai Sin,Yau Tsim Mong,22.342,114.183,22.3,114.175,4.7,urban,None,0,84.9,28.3,13,"(22.342, 114.183)","(22.3, 114.175)",3,9
Wong Tai Sin,Yuen Long,22.342,114.183,22.433,114.033,18.4,urban,Tai Lam Tunnel,55,286.6,95.5,30,"(22.342, 114.183)","(22.433, 114.033)",3,1
Yau Tsim Mong,Central and Western,22.3,114.175,22.285,114.158,2.4,urban,Western Harbour Crossing,50,112.7,37.6,14,"(22.3, 114.175)","(22.285, 114.158)",9,8
Yau Tsim Mong,Central and Western,22.3,114.175,22.285,114.158,2.4,urban,Cross-Harbour Tunnel,50,112.7,37.6,14,"(22.3, 114.175)","(22.285, 114.158)",9,8
Yau Tsim Mong,Eastern,22.3,114.175,22.283,114.233,6.3,urban,Eastern Harbour Crossing,50,157.4,52.5,16,"(22.3, 114.175)","(22.283, 114.233)",9,10
Yau Tsim Mong,Eastern,22.3,114.175,22.283,114.233,6.3,urban,Cross-Harbour Tunnel,50,157.4,52.5,16,"(22.3, 114.175)","(22.283, 114.233)",9,10
Yau Tsim Mong,Islands,22.3,114.175,22.267,113.95,23.5,urban,None,0,281.5,93.8,37,"(22.3, 114.175)","(22.267, 113.95)",9,2
Yau Tsim Mong,Kowloon City,22.3,114.175,22.323,114.188,2.9,urban,None,0,59.2,19.7,10,"(22.3, 114.175)","(22.323, 114.188)",9,17
Yau Tsim Mong,Kwai Tsing,22.3,114.175,22.358,114.125,8.2,urban,Tai Lam Tunnel,55,189.3,63.1,19,"(22.3, 114.175)","(22.358, 114.125)",9,5
Yau Tsim Mong,Kwun Tong,22.3,114.175,22.31,114.225,5.3,urban,None,0,92.7,30.9,14,"(22.3, 114.175)","(22.31, 114.225)",9,6
Yau Tsim Mong,North District,22.3,114.175,22.5,114.133,22.6,urban,Tate's Cairn Tunnel,20,278.4,92.8,29,"(22.3, 114.175)","(22.5, 114.133)",9,0
Yau Tsim Mong,North District,22.3,114.175,22.5,114.133,22.6,urban,Lion Rock Tunnel,8,266.4,88.8,29,"(22.3, 114.175)","(22.5, 114.133)",9,0
Yau Tsim Mong,Sai Kung,22.3,114.175,22.4,114.267,14.6,urban,Tate's Cairn Tunnel,20,239.2,79.7,37,"(22.3, 114.175)","(22.4, 114.267)",9,5
Yau Tsim Mong,Sai Kung,22.3,114.175,22.4,114.267,14.6,urban,Lion Rock Tunnel,8,227.2,75.7,37,"(22.3, 114.175)","(22.4, 114.267)",9,5
Yau Tsim Mong,Sham Shui Po,22.3,114.175,22.333,114.167,3.7,urban,None,0,78.8,26.3,15,"(22.3, 114.175)","(22.333, 114.167)",9,8
Yau Tsim Mong,Sha Tin,22.3,114.175,22.383,114.2,9.5,urban,Tate's Cairn Tunnel,20,157.8,52.6,15,"(22.3, 114.175)","(22.383, 114.2)",9,6
Yau Tsim Mong,Sha Tin,22.3,114.175,22.383,114.2,9.5,urban,Lion Rock Tunnel,8,145.8,48.6,15,"(22.3, 114.175)","(22.383, 114.2)",9,6
Yau Tsim Mong,Sha Tin,22.3,114.175,22.383,114.2,9.5,urban,Eagle's Nest Tunnel,8,145.8,48.6,15,"(22.3, 114.175)","(22.383, 114.2)",9,6
Yau Tsim Mong,Southern District,22.3,114.175,22.242,114.15,6.9,urban,None,0,116.4,38.8,17,"(22.3, 114.175)","(22.242, 114.15)",9,4
Yau Tsim Mong,Tai Po,22.3,114.175,22.45,114.167,16.6,urban,Tate's Cairn Tunnel,20,234.7,78.2,28,"(22.3, 114.175)","(22.45, 114.167)",9,2
Yau Tsim Mong,Tai Po,22.3,114.175,22.45,114.167,16.6,urban,Lion Rock Tunnel,8,222.7,74.2,28,"(22.3, 114.175)","(22.45, 114.167)",9,2
Yau Tsim Mong,Tsuen Wan,22.3,114.175,22.367,114.117,9.5,urban,Tai Lam Tunnel,55,196.9,65.6,17,"(22.3, 114.175)","(22.367, 114.117)",9,4
Yau Tsim Mong,Tuen Mun,22.3,114.175,22.4,113.975,23.4,urban,Tai Lam Tunnel,55,325.4,108.5,32,"(22.3, 114.175)","(22.4, 113.975)",9,2
Yau Tsim Mong,Wan Chai,22.3,114.175,22.278,114.178,2.5,urban,Cross-Harbour Tunnel,50,111.1,37.0,13,"(22.3, 114.175)","(22.278, 114.178)",9,7
Yau Tsim Mong,Wong Tai Sin,22.3,114.175,22.342,114.183,4.7,urban,None,0,84.9,28.3,13,"(22.3, 114.175)","(22.342, 114.183)",9,3
Yau Tsim Mong,Yau Tsim Mong,22.3,114.175,22.3,114.175,0.0,urban,None,0,29.0,9.7,0,"(22.3, 114.175)","(22.3, 114.175)",9,9
Yau Tsim Mong,Yuen Long,22.3,114.175,22.433,114.033,20.8,urban,Tai Lam Tunnel,55,309.1,103.0,33,"(22.3, 114.175)","(22.433, 114.033)",9,1
Yuen Long,Central and Western,22.433,114.033,22.285,114.158,20.8,new_territories,"Western Harbour Crossing, Tai Lam Tunnel",105,327.0,109.0,34,"(22.433, 114.033)","(22.285, 114.158)",1,8
Yuen Long,Eastern,22.433,114.033,22.283,114.233,26.5,new_territories,"Western Harbour Crossing, Tai Lam Tunnel",105,381.5,127.2,42,"(22.433, 114.033)","(22.283, 114.233)",1,10
Yuen Long,Islands,22.433,114.033,22.267,113.95,20.3,new_territories,None,0,225.6,75.2,38,"(22.433, 114.033)","(22.267, 113.95)",1,2
Yuen Long,Kowloon City,22.433,114.033,22.323,114.188,20.1,new_territories,Tai Lam Tunnel,55,277.4,92.5,37,"(22.433, 114.033)","(22.323, 114.188)",1,17
Yuen Long,Kwai Tsing,22.433,114.033,22.358,114.125,12.6,new_territories,None,0,147.2,49.1,25,"(22.433, 114.033)","(22.358, 114.125)",1,5
Yuen Long,Kwun Tong,22.433,114.033,22.31,114.225,24.0,new_territories,Tai Lam Tunnel,55,308.7,102.9,39,"(22.433, 114.033)","(22.31, 114.225)",1,6
Yuen Long,North District,22.433,114.033,22.5,114.133,12.7,new_territories,Tai Lam Tunnel,55,187.6,62.5,17,"(22.433, 114.033)","(22.5, 114.133)",1,0
Yuen Long,Sai Kung,22.433,114.033,22.4,114.267,24.4,new_territories,Tai Lam Tunnel,55,330.2,110.1,49,"(22.433, 114.033)","(22.4, 114.267)",1,5
Yuen Long,Sham Shui Po,22.433,114.033,22.333,114.167,17.7,new_territories,Tai Lam Tunnel,55,249.3,83.1,31,"(22.433, 114.033)","(22.333, 114.167)",1,8
Yuen Long,Sha Tin,22.433,114.033,22.383,114.2,18.1,new_territories,Tai Lam Tunnel,55,255.7,85.2,33,"(22.433, 114.033)","(22.383, 114.2)",1,6
Yuen Long,Sha Tin,22.433,114.033,22.383,114.2,18.1,new_territories,"Eagle's Nest Tunnel, Tai Lam Tunnel",63,263.7,87.9,33,"(22.433, 114.033)","(22.383, 114.2)",1,6
Yuen Long,Southern District,22.433,114.033,22.242,114.15,24.3,new_territories,None,0,265.5,88.5,44,"(22.433, 114.033)","(22.242, 114.15)",1,4
Yuen Long,Tai Po,22.433,114.033,22.45,114.167,13.9,new_territories,Tai Lam Tunnel,55,221.0,73.7,30,"(22.433, 114.033)","(22.45, 114.167)",1,2
Yuen Long,Tsuen Wan,22.433,114.033,22.367,114.117,11.3,new_territories,None,0,134.5,44.8,23,"(22.433, 114.033)","(22.367, 114.117)",1,4
Yuen Long,Tuen Mun,22.433,114.033,22.4,113.975,7.0,new_territories,None,0,105.3,35.1,17,"(22.433, 114.033)","(22.4, 113.975)",1,2
Yuen Long,Wan Chai,22.433,114.033,22.278,114.178,22.8,new_territories,"Western Harbour Crossing, Tai Lam Tunnel",105,351.8,117.3,40,"(22.433, 114.033)","(22.278, 114.178)",1,7
Yuen Long,Wong Tai Sin,22.433,114.033,22.342,114.183,18.4,new_territories,Tai Lam Tunnel,55,262.1,87.4,35,"(22.433, 114.033)","(22.342, 114.183)",1,3
Yuen Long,Yau Tsim Mong,22.433,114.033,22.3,114.175,20.8,new_territories,Tai Lam Tunnel,55,278.3,92.8,35,"(22.433, 114.033)","(22.3, 114.175)",1,9
Yuen Long,Yuen Long,22.433,114.033,22.433,114.033,0.0,new_territories,None,0,25.5,8.5,0,"(22.433, 114.033)","(22.433, 114.033)",1,1
